Membership No  Date Joined  Active  
    49389      2020-11-25   no    
    99771      2019-11-19   no    
    57441      2015-9-17    no    
    20324      2017-4-14    no    
    76067      2015-6-21    no    
    95098      2015-4-18    no    
    13293      2019-4-18    no    
    45588      2018-9-5     no    
    68228      2020-10-18   no    
    12998      2017-8-3     no    
    84480      2015-1-16    no    
    83983      2018-10-21   no    
    19936      2020-12-20   no    
    62234      2019-9-9     no    
