Membership No  Date Joined  Active  
    28312      2016-8-6     no    
    71552      2017-9-6     no    
    74151      2015-3-2     no    
    94134      2018-9-22    no    
    35279      2017-11-20   no    
    68759      2016-6-20    no    
    19925      2019-1-5     no    
    44814      2017-1-22    no    
    70155      2019-7-2     no    
    74014      2018-4-13    no    
    49933      2018-8-23    no    
    65629      2019-12-18   no    
    55682      2016-1-17    no    
    62162      2016-6-6     no    
    26315      2019-1-24    no    
